0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) α-d-GlcNAcOMei,98.86,54.15,70.63,80.78,71.29,60.96,,22.83,175.12,56.01
Expected Calc. Error: 0.24,4.78,3.94,3.86,3.62,3.73,3.69,3.81,2.05,,3.42
→4) β-d-GlcNAcii (1→,102.51,56.25,73.13,79.94,75.8,61.26,,23.46,175.43,
Expected Calc. Error: 0.85,4.64,3.84,3.8,3.8,3.67,3.79,3.92,2.13,,
"→3,4,6) β-d-Maniii (1→",101.36,71.53,82.62,72.14,75.55,66.16,,,,
Expected Calc. Error: 12.64,4.74,4.26,3.77,4.01,3.67,3.52,4.11,,,
"→2,6) α-d-Maniv (1→",97.93,77.6,70.39,68.11,72.55,70.45,,,,
Expected Calc. Error: 5.27,4.89,4.07,3.83,3.49,3.76,3.69,4.2,,,
β-d-GlcNAcv (1→,102.6,56.4,74.7,70.8,76.8,61.6,,23.1,175.5,
Expected Calc. Error: 0.27,4.57,3.74,3.57,3.46,3.48,3.77,3.95,2.04,,
β-d-GlcNAcvi (1→,100.74,56.41,74.36,70.97,76.79,61.67,,23.19,175.45,
Expected Calc. Error: 5.00,4.59,3.7,3.59,3.46,3.45,3.76,3.92,2.05,,
β-d-GlcNAcvii (1→,101.97,57.08,74.7,71.12,77.56,61.92,,23.1,175.49,
Expected Calc. Error: 4.55,4.64,3.71,3.58,3.43,3.48,3.78,3.96,2.06,,
"→2,4) α-d-Manviii (1→",101.05,77.9,69.57,78.13,73.33,61.97,,,,
Expected Calc. Error: 6.97,5.01,4.08,4.0,3.69,3.66,3.68,3.68,,,
β-d-GlcNAcix (1→,102.7,56.85,74.73,71.02,77.14,61.84,,23.1,175.49,
Expected Calc. Error: 1.16,4.59,3.75,3.58,3.47,3.5,3.73,3.91,2.06,,
β-d-GlcNAcx (1→,100.63,56.29,74.28,70.94,76.79,61.66,,23.18,175.47,
Expected Calc. Error: 1.36,4.55,3.7,3.58,3.46,3.44,3.76,3.92,2.05,,
