0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) α-d-GlcNAcOMei,98.86,54.15,70.63,80.78,71.29,60.96,,22.83,175.12,56.01
Expected Calc. Error: 0.24,4.78,3.94,3.86,3.62,3.73,3.69,3.81,2.05,,3.42
→4) β-d-GlcNAcii (1→,102.51,56.25,73.13,79.94,75.8,61.26,,23.46,175.43,
Expected Calc. Error: 0.85,4.64,3.84,3.8,3.8,3.67,3.79,3.92,2.13,,
"→3,6) β-d-Maniii (1→",101.27,71.14,81.91,66.77,76.04,67.06,,,,
Expected Calc. Error: 8.08,4.76,4.24,3.78,3.79,3.63,3.77,4.03,,,
→2) α-d-Maniv (1→,97.88,77.75,70.55,68.3,73.8,62.37,,,,
Expected Calc. Error: 5.00,4.92,4.08,3.85,3.55,3.65,3.71,3.9,,,
→3) β-d-GlcNAcv (1→,100.49,55.34,83.12,69.69,76.34,61.66,,23.28,175.5,
Expected Calc. Error: 5.00,4.65,3.83,3.84,3.55,3.49,3.78,3.93,2.04,,
→3) β-d-Galvi (1→,104.31,70.07,78.68,65.92,75.9,61.8,,,,
Expected Calc. Error: 1.22,4.44,3.67,3.68,4.13,3.69,3.79,3.79,,,
α-d-Galvii (1→,96.33,69.15,70.33,70.26,71.93,61.79,,,,
Expected Calc. Error: 1.22,5.08,3.83,3.88,3.96,4.1,3.69,3.69,,,
→2) α-d-Manviii (1→,100.21,77.76,70.3,68.23,74.21,62.42,,,,
Expected Calc. Error: 2.42,5.13,4.15,3.89,3.56,3.69,3.7,3.88,,,
→3) β-d-GlcNAcix (1→,100.38,55.22,83.04,69.66,76.34,61.65,,23.27,175.52,
Expected Calc. Error: 1.36,4.61,3.83,3.83,3.55,3.48,3.78,3.93,2.04,,
→3) β-d-Galx (1→,104.31,70.07,78.68,65.92,75.9,61.8,,,,
Expected Calc. Error: 1.22,4.44,3.67,3.68,4.13,3.69,3.79,3.79,,,
α-d-Galxi (1→,96.33,69.15,70.33,70.26,71.93,61.79,,,,
Expected Calc. Error: 1.22,5.08,3.83,3.88,3.96,4.1,3.69,3.69,,,
