0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) β-d-GlcNAcOMei,102.65,55.78,73.47,80.61,75.42,61.17,,23.02,175.34,57.82
Expected Calc. Error: 0.00,4.45,3.71,3.71,3.59,3.52,3.67,3.86,2.03,,3.5
→4) β-d-GlcNAcii (1→,102.51,56.25,73.13,79.94,75.8,61.26,,23.46,175.43,
Expected Calc. Error: 0.67,4.64,3.84,3.8,3.8,3.67,3.79,3.92,2.13,,
"→3,4,6) β-d-Maniii (1→",101.36,71.53,82.62,72.14,75.55,66.16,,,,
Expected Calc. Error: 12.64,4.74,4.26,3.77,4.01,3.67,3.52,4.11,,,
→2) α-d-Maniv (1→,97.88,77.75,70.55,68.3,73.8,62.37,,,,
Expected Calc. Error: 5.00,4.92,4.08,3.85,3.55,3.65,3.71,3.9,,,
→4) β-d-GlcNAcv (1→,100.64,55.94,72.83,79.78,75.66,61.07,,23.17,175.43,
Expected Calc. Error: 5.17,4.62,3.75,3.76,3.7,3.6,3.85,3.99,2.05,,
β-d-Galvi (1→,103.8,71.89,73.55,69.48,76.18,61.8,,,,
Expected Calc. Error: 0.17,4.48,3.57,3.67,3.95,3.73,3.77,3.79,,,
β-d-GlcNAcvii (1→,101.97,57.08,74.7,71.12,77.56,61.92,,23.1,175.49,
Expected Calc. Error: 4.55,4.64,3.71,3.58,3.43,3.48,3.78,3.96,2.06,,
"→2,4) α-d-Manviii (1→",101.05,77.9,69.57,78.13,73.33,61.97,,,,
Expected Calc. Error: 6.97,5.01,4.08,4.0,3.69,3.66,3.68,3.68,,,
→4) β-d-GlcNAcix (1→,102.6,56.38,73.2,79.83,76.01,61.24,,23.08,175.47,
Expected Calc. Error: 1.32,4.62,3.8,3.75,3.71,3.65,3.8,4.0,2.06,,
β-d-Galx (1→,103.8,71.89,73.55,69.48,76.18,61.8,,,,
Expected Calc. Error: 0.17,4.48,3.57,3.67,3.95,3.73,3.77,3.79,,,
→4) β-d-GlcNAcxi (1→,100.53,55.82,72.75,79.75,75.66,61.06,,23.16,175.45,
Expected Calc. Error: 1.53,4.57,3.75,3.76,3.71,3.6,3.85,3.99,2.05,,
β-d-Galxii (1→,103.8,71.89,73.55,69.48,76.18,61.8,,,,
Expected Calc. Error: 0.17,4.48,3.57,3.67,3.95,3.73,3.77,3.79,,,
