0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
"→3,6) α-d-GalNAcOMei",99.14,49.37,78.19,69.47,69.79,69.86,,22.96,175.32,56.03
Expected Calc. Error: 1.79,4.77,4.33,3.96,4.19,4.01,3.78,4.02,2.02,,3.38
→3) β-d-GlcNAcii (1→,101.99,55.3,83.11,69.59,76.32,61.74,,23.13,175.27,
Expected Calc. Error: 1.69,4.63,3.85,3.82,3.54,3.51,3.78,3.94,2.03,,
→2) β-d-Galiii (1→,104.17,76.59,72.54,69.6,75.87,61.8,,,,
Expected Calc. Error: 3.85,4.57,3.68,3.71,3.95,3.69,3.77,3.79,,,
α-d-Fuciv (1→,99.13,68.99,70.33,72.48,67.46,15.92,,,,
Expected Calc. Error: 3.85,5.41,3.81,3.89,3.86,4.4,1.22,,,,
→3) β-d-GlcNAcv (1→,104.4,55.7,78.63,69.46,76.38,61.93,,23.19,175.54,
Expected Calc. Error: 1.50,4.52,3.8,3.94,3.5,3.45,3.77,3.89,2.05,,
→2) β-d-Galvi (1→,101.11,77.44,74.51,70.03,75.68,61.76,,,,
Expected Calc. Error: 0.00,4.64,3.62,3.84,3.92,3.68,3.82,3.9,,,
α-l-Fucvii (1→,100.28,69.09,70.48,72.76,67.29,16.12,,,,
Expected Calc. Error: 0.00,5.21,3.8,3.71,3.78,4.3,1.2,,,,
