Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,labels
HETATM,1,C1,RAM,1,-1.362,-3.191,-0.981,94.37
HETATM,2,C2,RAM,1,-2.832,-3.204,-1.473,72.23
HETATM,3,C3,RAM,1,-3.795,-3.505,-0.298,73.76
HETATM,4,C4,RAM,1,-3.534,-2.604,0.934,72.83
HETATM,5,C5,RAM,1,-2.032,-2.651,1.331,72.83
HETATM,6,C6,RAM,1,-1.673,-1.646,2.433,17.61
HETATM,7,OH2,RAM,1,-3.187,-1.945,-2.042,-1.0
HETATM,8,OH3,RAM,1,-5.142,-3.317,-0.714,-1.0
HETATM,9,OH4,RAM,1,-4.363,-3.042,2.009,-1.0
HETATM,10,O5,RAM,1,-1.212,-2.323,0.175,-1.0
HETATM,11,OH1,RAM,1,-0.544,-2.666,-2.007,-1.0
HETATM,12,H1,RAM,1,-1.024,-4.216,-0.731,4.85
HETATM,13,HO4,RAM,1,-4.076,-2.546,2.782,-1.0
HETATM,14,HO1,RAM,1,-0.962,-1.821,-2.192,-1.0
HETATM,15,H2,RAM,1,-2.946,-3.985,-2.249,3.93
HETATM,16,H3,RAM,1,-3.659,-4.563,0.004,3.59
HETATM,17,H4,RAM,1,-3.794,-1.559,0.666,3.38
HETATM,18,H5,RAM,1,-1.775,-3.672,1.682,3.39
HETATM,19,1H6,RAM,1,-0.59,-1.682,2.653,-1.0
HETATM,20,2H6,RAM,1,-2.205,-1.847,3.379,-1.0
HETATM,21,3H6,RAM,1,-1.901,-0.609,2.123,-1.0
HETATM,22,HO2,RAM,1,-4.142,-1.902,-1.921,-1.0
HETATM,23,HO3,RAM,1,-5.654,-3.369,0.1,-1.0
