Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,labels
HETATM,1,C1,ARE,1,4.389,0.081,-7.539,99.2
HETATM,2,C2,ARE,1,2.895,0.241,-7.261,74.4
HETATM,3,C3,ARE,1,2.501,1.324,-8.261,75.0
HETATM,4,C4,ARE,1,3.405,1.011,-9.453,71.1
HETATM,5,C5,ARE,1,3.73,2.216,-10.341,69.0
HETATM,6,OH2,ARE,1,2.662,0.671,-5.934,-1.0
HETATM,7,OH1,ARE,1,4.809,-1.234,-7.366,-1.0
HETATM,8,OH3,ARE,1,1.131,1.28,-8.604,-1.0
HETATM,9,O4,ARE,1,4.604,0.45,-8.906,-1.0
HETATM,10,OH5,ARE,1,2.556,2.731,-10.931,-1.0
HETATM,11,HO2,ARE,1,1.709,0.812,-5.804,-1.0
HETATM,12,H1,ARE,1,4.984,0.766,-6.918,4.51
HETATM,13,H3,ARE,1,2.77,2.306,-7.847,3.65
HETATM,14,H4,ARE,1,2.936,0.223,-10.06,3.93
HETATM,15,HO3,ARE,1,0.921,0.408,-8.979,-1.0
HETATM,16,H2,ARE,1,2.368,-0.703,-7.462,3.5
HETATM,17,H5R,ARE,1,4.415,1.9,-11.129,-1.0
HETATM,18,HO1,ARE,1,4.829,-1.443,-6.417,-1.0
HETATM,19,HO5,ARE,1,2.793,3.481,-11.48,-1.0
HETATM,20,H5S,ARE,1,4.206,2.992,-9.74,-1.0
