Residual,Connection,Atom,Shift,Residual Num
A-L-RHAP, ,H1,5.24,1
A-L-RHAP, ,H2,4.05,1
A-L-RHAP, ,H3,3.82,1
A-L-RHAP, ,H4,3.44,1
A-L-RHAP, ,H5,3.87,1
A-L-RHAP, ,H6,1.29,1
B-L-FUCP,2,H1,4.41,2
B-L-FUCP,2,H2,3.55,2
B-L-FUCP,2,H3,3.65,2
B-L-FUCP,2,H4,3.76,2
B-L-FUCP,2,H5,3.79,2
B-L-FUCP,2,H6,1.27,2
A-L-RHAP, ,C1,93.16,1
A-L-RHAP, ,C2,79.86,1
A-L-RHAP, ,C3,70.0,1
A-L-RHAP, ,C4,73.8,1
A-L-RHAP, ,C5,69.26,1
A-L-RHAP, ,C6,17.61,1
B-L-FUCP,2,C1,103.27,2
B-L-FUCP,2,C2,71.26,2
B-L-FUCP,2,C3,73.7,2
B-L-FUCP,2,C4,72.14,2
B-L-FUCP,2,C5,71.78,2
B-L-FUCP,2,C6,16.19,2
