Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z
ATOM,1,C5,DGalNAc,1,3.337,1.774,-8.944
ATOM,2,H5,DGalNAc,1,3.271,1.274,-9.929
ATOM,3,O5,DGalNAc,1,4.702,1.679,-8.463
ATOM,4,C1,DGalNAc,1,5.227,0.338,-8.248
ATOM,5,H1,DGalNAc,1,5.227,-0.208,-9.207
ATOM,6,O1,DGalNAc,1,6.532,0.436,-7.779
ATOM,7,C2,DGalNAc,1,4.345,-0.412,-7.222
ATOM,8,H2,DGalNAc,1,4.452,0.078,-6.233
ATOM,9,C3,DGalNAc,1,2.854,-0.372,-7.633
ATOM,10,H3,DGalNAc,1,2.727,-0.987,-8.546
ATOM,11,O3,DGalNAc,1,2.063,-0.925,-6.611
ATOM,13,C4,DGalNAc,1,2.367,1.065,-7.950
ATOM,14,H4,DGalNAc,1,1.340,1.021,-8.364
ATOM,15,O4,DGalNAc,1,2.336,1.802,-6.750
ATOM,16,HO4,DGalNAc,1,1.737,1.334,-6.141
ATOM,17,C6,DGalNAc,1,3.018,3.281,-9.160
ATOM,18,H61,DGalNAc,1,3.805,3.735,-9.772
ATOM,19,O6,DGalNAc,1,1.778,3.456,-9.811
ATOM,20,HO6,DGalNAc,1,1.654,4.401,-9.918
ATOM,21,H62,DGalNAc,1,3.014,3.809,-8.202
ATOM,22,NM,DGalNAc,1,4.776,-1.748,-7.109
ATOM,23,CM,DGalNAc,1,5.228,-2.223,-5.905
ATOM,24,CM2,DGalNAc,1,5.664,-3.675,-5.938
ATOM,25,OM,DGalNAc,1,5.291,-1.560,-4.887
ATOM,26,HM1,DGalNAc,1,4.751,-2.368,-7.931
ATOM,27,HM2,DGalNAc,1,6.012,-4.009,-4.933
ATOM,28,HM3,DGalNAc,1,6.505,-3.809,-6.657
ATOM,29,HM4,DGalNAc,1,4.815,-4.328,-6.244
ATOM,30,CM,DGalNAc,1,7.112,-0.854,-7.570
ATOM,31,HM1,DGalNAc,1,8.019,-0.751,-7.011
ATOM,32,HM2,DGalNAc,1,7.324,-1.305,-8.516
ATOM,33,HM3,DGalNAc,1,6.425,-1.471,-7.028
ATOM,34,C1,DGlcNAc,2,1.366,-2.070,-7.058
ATOM,35,C2,DGlcNAc,2,0.680,-2.760,-5.856
ATOM,36,C3,DGlcNAc,2,-0.233,-3.897,-6.361
ATOM,37,C4,DGlcNAc,2,-1.245,-3.391,-7.417
ATOM,38,C5,DGlcNAc,2,-0.518,-2.620,-8.560
ATOM,39,C6,DGlcNAc,2,-1.486,-1.921,-9.530
ATOM,41,O3,DGlcNAc,2,-0.933,-4.444,-5.251
ATOM,42,O4,DGlcNAc,2,-1.940,-4.523,-7.930
ATOM,43,O5,DGlcNAc,2,0.372,-1.599,-8.001
ATOM,44,O6,DGlcNAc,2,-2.152,-0.841,-8.879
ATOM,47,HO4,DGlcNAc,2,-2.166,-5.041,-7.149
ATOM,48,HO6,DGlcNAc,2,-1.509,-0.494,-8.250
ATOM,49,H1,DGlcNAc,2,2.072,-2.765,-7.559
ATOM,50,H2,DGlcNAc,2,0.064,-2.009,-5.322
ATOM,51,H3,DGlcNAc,2,0.397,-4.689,-6.813
ATOM,52,H4,DGlcNAc,2,-1.967,-2.711,-6.924
ATOM,53,H5,DGlcNAc,2,0.083,-3.347,-9.142
ATOM,54,H61,DGlcNAc,2,-0.927,-1.536,-10.404
ATOM,55,H62,DGlcNAc,2,-2.227,-2.638,-9.934
ATOM,56,NM,DGlcNAc,2,1.663,-3.283,-4.969
ATOM,57,CM,DGlcNAc,2,1.725,-2.836,-3.675
ATOM,58,CM2,DGlcNAc,2,2.825,-3.479,-2.851
ATOM,59,OM,DGlcNAc,2,0.982,-1.997,-3.203
ATOM,60,HM1,DGlcNAc,2,2.327,-3.997,-5.300
ATOM,61,HM2,DGlcNAc,2,2.822,-3.086,-1.808
ATOM,62,HM3,DGlcNAc,2,3.821,-3.259,-3.300
ATOM,63,HM4,DGlcNAc,2,2.681,-4.583,-2.805
ATOM,64,C5,BGAL,3,-0.974,-7.990,-6.134
ATOM,65,H5,BGAL,3,0.114,-8.189,-6.166
ATOM,66,O5,BGAL,3,-1.187,-6.555,-6.166
ATOM,67,C1,BGAL,3,-0.625,-5.786,-5.065
ATOM,68,H1,BGAL,3,0.472,-5.909,-5.063
ATOM,71,C2,BGAL,3,-1.208,-6.288,-3.723
ATOM,72,H2,BGAL,3,-2.290,-6.047,-3.691
ATOM,73,O2,BGAL,3,-0.571,-5.633,-2.652
ATOM,75,C3,BGAL,3,-1.040,-7.820,-3.580
ATOM,76,H3,BGAL,3,0.040,-8.043,-3.465
ATOM,77,O3,BGAL,3,-1.711,-8.267,-2.428
ATOM,78,HO3,BGAL,3,-1.552,-9.228,-2.362
ATOM,79,C4,BGAL,3,-1.561,-8.590,-4.820
ATOM,80,H4,BGAL,3,-1.297,-9.662,-4.723
ATOM,81,O4,BGAL,3,-2.964,-8.475,-4.861
ATOM,82,HO4,BGAL,3,-3.307,-8.842,-4.026
ATOM,83,C6,BGAL,3,-1.600,-8.588,-7.427
ATOM,84,H61,BGAL,3,-1.227,-8.038,-8.298
ATOM,85,O6,BGAL,3,-1.269,-9.952,-7.574
ATOM,86,HO6,BGAL,3,-1.677,-10.247,-8.390
ATOM,87,H62,BGAL,3,-2.687,-8.466,-7.414
ATOM,88,C1,AFL,4,-1.499,-4.878,-1.875
ATOM,89,C2,AFL,4,-0.916,-4.333,-0.557
ATOM,90,C3,AFL,4,0.088,-3.206,-0.836
ATOM,91,C4,AFL,4,-0.573,-2.142,-1.728
ATOM,92,C5,AFL,4,-1.138,-2.806,-2.994
ATOM,93,C6,AFL,4,-1.860,-1.829,-3.930
ATOM,94,O5,AFL,4,-2.077,-3.836,-2.666
ATOM,96,O2,AFL,4,-0.372,-5.432,0.171
ATOM,97,O3,AFL,4,0.569,-2.686,0.400
ATOM,98,O4,AFL,4,-1.644,-1.479,-1.057
ATOM,99,H5,AFL,4,-0.292,-3.237,-3.563
ATOM,100,H1,AFL,4,-2.322,-5.569,-1.655
ATOM,102,H2,AFL,4,-1.755,-3.906,0.026
ATOM,103,HO2,AFL,4,-0.146,-5.092,1.047
ATOM,104,H3,AFL,4,0.944,-3.642,-1.386
ATOM,105,HO3,AFL,4,1.330,-2.131,0.186
ATOM,106,H4,AFL,4,0.174,-1.383,-2.029
ATOM,107,HO4,AFL,4,-1.245,-0.987,-0.326
ATOM,108,H6,AFL,4,-1.214,-0.986,-4.224
ATOM,109,H22,AFL,4,-2.178,-2.351,-4.846
ATOM,110,H23,AFL,4,-2.762,-1.420,-3.449
